svt,type,start_millis,end_millis,pee,poo,volume,svt_date
2022-03-05 02:25:25.589,pump,2022-03-05 01:40:00.000,0,0,0,140.0,2022-03-05
2022-03-05 02:26:10.222,diaper_change,2022-03-05 01:00:00.000,0,1,0,0.0,2022-03-05
2022-03-05 02:27:33.729,bottle,2022-03-05 02:00:00.000,0,0,0,125.0,2022-03-05
2022-03-05 05:50:51.513,pump,2022-03-05 05:35:00.000,0,0,0,150.0,2022-03-05
2022-03-05 05:26:12.459,diaper_change,2022-03-05 05:20:00.000,0,1,1,0.0,2022-03-05
2022-03-05 05:50:42.503,bottle,2022-03-05 05:50:25.230,0,0,0,120.0,2022-03-05
2022-03-05 09:21:03.725,pump,2022-03-05 08:45:00.000,0,0,0,110.0,2022-03-05
2022-03-05 09:31:19.427,bottle,2022-03-05 09:00:00.000,0,0,0,120.0,2022-03-05
2022-03-05 09:31:31.588,diaper_change,2022-03-05 08:01:00.000,0,1,1,0.0,2022-03-05
2022-03-05 09:31:42.925,diaper_change,2022-03-05 09:15:00.000,0,1,1,0.0,2022-03-05
2022-03-05 10:59:43.873,diaper_change,2022-03-05 10:30:00.000,0,1,0,0.0,2022-03-05
2022-03-05 11:00:08.468,bottle,2022-03-05 10:59:51.796,0,0,0,125.0,2022-03-05
2022-03-05 11:09:43.984,diaper_change,2022-03-05 11:05:00.000,0,1,0,0.0,2022-03-05
2022-03-05 11:26:46.822,diaper_change,2022-03-05 11:26:44.013,0,1,1,0.0,2022-03-05
2022-03-05 13:02:47.643,pump,2022-03-05 01:00:00.000,0,0,0,160.0,2022-03-05
2022-03-05 13:04:07.761,pump,2022-03-05 13:00:00.000,0,0,0,160.0,2022-03-05
2022-03-05 13:42:56.559,diaper_change,2022-03-05 13:40:00.000,0,1,0,0.0,2022-03-05
2022-03-05 15:49:10.182,bottle,2022-03-05 14:00:00.000,0,0,0,120.0,2022-03-05
2022-03-05 16:48:37.681,diaper_change,2022-03-05 16:00:00.000,0,1,1,0.0,2022-03-05
2022-03-05 16:49:05.258,bottle,2022-03-05 16:48:39.848,0,0,0,120.0,2022-03-05
2022-03-05 16:49:12.218,diaper_change,2022-03-05 16:30:00.000,0,1,0,0.0,2022-03-05
2022-03-05 19:25:39.673,pump,2022-03-05 17:10:00.000,0,0,0,180.0,2022-03-05
2022-03-05 19:35:33.960,diaper_change,2022-03-05 19:35:30.124,0,1,0,0.0,2022-03-05
2022-03-05 19:50:38.450,pump,2022-03-05 19:45:00.000,0,0,0,125.0,2022-03-05
2022-03-05 19:58:35.096,bottle,2022-03-05 20:00:00.000,0,0,0,120.0,2022-03-05
2022-03-05 22:28:28.155,diaper_change,2022-03-05 22:28:25.420,0,1,0,0.0,2022-03-05
2022-03-05 22:53:35.704,pump,2022-03-05 22:53:30.466,0,0,0,150.0,2022-03-05
2022-03-05 22:54:27.433,bottle,2022-03-05 22:54:17.059,0,0,0,120.0,2022-03-05
2022-03-06 01:37:58.146,diaper_change,2022-03-06 01:37:55.853,0,1,0,0.0,2022-03-06
2022-03-06 01:59:59.469,bottle,2022-03-06 01:59:47.291,0,0,0,120.0,2022-03-06
2022-03-06 02:00:37.651,pump,2022-03-06 02:00:32.311,0,0,0,140.0,2022-03-06
2022-03-06 02:08:19.288,diaper_change,2022-03-06 02:08:16.505,0,1,1,0.0,2022-03-06
2022-03-06 04:42:50.994,diaper_change,2022-03-06 04:42:48.896,0,1,0,0.0,2022-03-06
2022-03-06 05:01:35.928,pump,2022-03-06 05:00:28.135,0,0,0,130.0,2022-03-06
2022-03-06 05:19:06.887,bottle,2022-03-06 05:05:00.000,0,0,0,125.0,2022-03-06
2022-03-06 07:40:42.807,diaper_change,2022-03-06 07:40:40.901,0,1,0,0.0,2022-03-06
2022-03-06 08:04:17.301,bottle,2022-03-06 08:04:07.956,0,0,0,120.0,2022-03-06
