uid,svt,updated_millis,user_uid,baby_uid,type,start_millis,notes,group_uid,end_millis,pause_millis,duration,left_duration,right_duration,in_progress,side,pee,poo,hair_wash,temperature,volume,amount,amount_unit,reaction
pdsygtpsdebyJNPM4055640711671703,1646465125589,1646465125449,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1646462400000,,,0,0,0,0,0,0,both,0,0,0,0.0,140.0,0.0,,
sktDVPXHLL3407486781730314360355,1646465170222,1646465170163,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,potty,1646460000000,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
yhyjpfvqvpbECRETWALDBNJQ71647781,1646465253729,1646465253674,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,bottle,1646463600000,30 min feed,,0,0,0,0,0,0,,0,0,0,0.0,125.0,0.0,,
abrkjfufeqrechfvpbrtdujfrxMQBIG0,1646477451513,1646477451438,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1646476500000,,,0,0,0,0,0,0,both,0,0,0,0.0,150.0,0.0,,
snusjmothsoqmsgfWKQ4380067100777,1646475972459,1646475972362,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,potty,1646475600000,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
vvyohYWO378180058065885554050640,1646477442503,1646477442426,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,bottle,1646477425230,40 min,,0,0,0,0,0,0,,0,0,0,0.0,120.0,0.0,,
xgixuwemofhysgwxuqdpMXEQTAONPM88,1646490063725,1646490063610,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1646487900000,,,0,0,0,0,0,0,both,0,0,0,0.0,110.0,0.0,,
hoyjtwbkwbecrcchmfdwR82818560573,1646490679427,1646490678873,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1646488800000,30 mins duration,,0,0,0,0,0,0,,0,0,0,0.0,120.0,0.0,,
cxyxkyrlvyjecxsyulvynDHHADI52174,1646490691588,1646490691080,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1646485260000,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
ctpncxbeehxenicOVFYL068678543763,1646490702925,1646490702396,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1646489700000,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
